ID,mushroom_id,cap-shape,cap-surface,cap-color,bruises,number_of_bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
102,136,flat,fibrous,white,bruises,7,anise,gills free from stalk,crowded,narrow,white,stalk tapers toward base,bulbous,smooth,smooth,white,white,partial,white,1,pendant,brown,several,woods,e
103,137,convex,scaly,yellow,bruises,9,almond,gills free from stalk,close,broad,brown,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,grasses,e
104,138,convex,smooth,brown,bruises,7,pungent,gills free from stalk,close,narrow,pink,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,grasses,p
105,139,bell,smooth,yellow,bruises,9,anise,gills free from stalk,close,broad,white,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,numerous,grasses,e
106,140,convex,scaly,brown,bruises,8,almond,gills free from stalk,close,broad,white,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,black,solitary,paths,e
107,142,sunken,fibrous,brown,no,0,None,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,urban,e
108,143,flat,scaly,brown,bruises,2,almond,gills free from stalk,close,broad,white,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,black,solitary,paths,e
109,144,convex,scaly,yellow,bruises,1,almond,gills free from stalk,close,broad,black,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,numerous,grasses,e
110,145,convex,fibrous,gray,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,scattered,grasses,e
111,146,flat,fibrous,white,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
112,148,bell,smooth,yellow,bruises,23,anise,gills free from stalk,close,broad,black,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,numerous,grasses,e
113,150,convex,scaly,white,bruises,24,almond,gills free from stalk,close,broad,white,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,grasses,e
114,151,convex,smooth,brown,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
115,152,convex,scaly,white,bruises,5,anise,gills free from stalk,close,broad,gray,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,grasses,e
116,153,sunken,fibrous,brown,no,0,None,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,several,urban,e
117,154,convex,smooth,white,bruises,3,almond,gills free from stalk,crowded,narrow,white,stalk tapers toward base,bulbous,smooth,smooth,white,white,partial,white,1,pendant,purple,several,woods,e
118,155,convex,scaly,brown,bruises,12,anise,gills free from stalk,close,broad,white,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,black,scattered,grasses,e
119,156,bell,scaly,yellow,bruises,8,almond,gills free from stalk,close,broad,black,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,numerous,grasses,e
120,157,convex,scaly,white,bruises,22,almond,gills free from stalk,close,broad,black,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,numerous,grasses,e
121,159,bell,smooth,yellow,bruises,1,almond,gills free from stalk,close,broad,gray,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grasses,e
122,161,bell,scaly,yellow,bruises,5,almond,gills free from stalk,close,broad,brown,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,numerous,grasses,e
123,162,convex,fibrous,brown,no,0,None,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,e
124,163,flat,scaly,brown,bruises,15,anise,gills free from stalk,close,broad,brown,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,brown,solitary,grasses,e
125,164,convex,scaly,white,bruises,14,almond,gills free from stalk,close,broad,black,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,grasses,e
126,165,flat,scaly,yellow,bruises,3,anise,gills free from stalk,close,broad,white,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,brown,solitary,paths,e
127,166,bell,smooth,white,bruises,1,almond,gills free from stalk,close,broad,white,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,grasses,e
128,168,convex,scaly,brown,bruises,23,anise,gills free from stalk,close,broad,white,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,black,solitary,grasses,e
129,169,bell,smooth,white,bruises,14,almond,gills free from stalk,close,broad,black,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grasses,e
130,170,convex,fibrous,gray,no,0,None,gills free from stalk,close,narrow,gray,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,e
131,171,bell,smooth,yellow,bruises,7,anise,gills free from stalk,close,broad,black,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,grasses,e
132,172,convex,fibrous,yellow,bruises,9,anise,gills free from stalk,crowded,narrow,brown,stalk tapers toward base,bulbous,smooth,smooth,white,white,partial,white,1,pendant,purple,several,woods,e
133,173,bell,scaly,yellow,bruises,15,almond,gills free from stalk,close,broad,white,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grasses,e
134,174,flat,scaly,yellow,bruises,15,anise,gills free from stalk,close,broad,pink,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,brown,scattered,grasses,e
135,177,bell,scaly,yellow,bruises,19,almond,gills free from stalk,close,broad,gray,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,grasses,e
136,179,bell,smooth,yellow,bruises,17,anise,gills free from stalk,close,broad,gray,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,numerous,grasses,e
137,180,convex,scaly,white,bruises,20,pungent,gills free from stalk,close,narrow,pink,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,urban,p
138,181,sunken,fibrous,brown,no,0,None,gills free from stalk,close,narrow,gray,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,e
139,182,flat,fibrous,brown,no,0,None,gills free from stalk,close,narrow,gray,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,several,urban,e
140,184,flat,scaly,brown,bruises,5,almond,gills free from stalk,close,broad,pink,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,black,scattered,paths,e
141,185,convex,scaly,white,bruises,23,pungent,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grasses,p
142,187,flat,fibrous,gray,no,0,None,gills free from stalk,close,narrow,pink,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,several,urban,e
143,188,bell,scaly,yellow,bruises,13,anise,gills free from stalk,close,broad,gray,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,numerous,grasses,e
144,189,convex,scaly,brown,bruises,15,almond,gills free from stalk,close,broad,white,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,brown,solitary,paths,e
145,190,convex,fibrous,white,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,scattered,grasses,e
146,191,convex,smooth,white,bruises,11,anise,gills free from stalk,crowded,narrow,white,stalk tapers toward base,bulbous,smooth,smooth,white,white,partial,white,1,pendant,brown,several,woods,e
147,193,flat,smooth,yellow,bruises,13,almond,gills free from stalk,crowded,narrow,white,stalk tapers toward base,bulbous,smooth,smooth,white,white,partial,white,1,pendant,brown,several,woods,e
148,195,flat,fibrous,gray,no,0,None,gills free from stalk,close,narrow,gray,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,e
149,196,bell,smooth,yellow,bruises,19,almond,gills free from stalk,close,broad,brown,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grasses,e
150,199,flat,smooth,white,bruises,10,almond,gills free from stalk,crowded,narrow,brown,stalk tapers toward base,bulbous,smooth,smooth,white,white,partial,white,1,pendant,brown,several,woods,e
151,200,convex,scaly,yellow,bruises,13,anise,gills free from stalk,close,broad,white,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,grasses,e
152,201,bell,smooth,white,bruises,21,anise,gills free from stalk,close,broad,white,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grasses,e
153,202,convex,smooth,white,bruises,6,almond,gills free from stalk,close,broad,gray,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,numerous,grasses,e
154,203,convex,fibrous,white,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,black,scattered,grasses,e
155,204,flat,scaly,brown,bruises,12,anise,gills free from stalk,close,broad,brown,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,black,solitary,paths,e
156,205,convex,smooth,white,bruises,12,pungent,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,urban,p
